t_mm,sub-01,sub-02,sub-03,sub-04,sub-05,sub-06,sub-07,sub-08,sub-09,sub-10,sub-11,sub-12,sub-13,sub-14,sub-15,sub-16
2.579922479455535544e+00,0.000000000000000000e+00,1.304327366723576631e-01,0.000000000000000000e+00,2.485046452906547465e-01,0.000000000000000000e+00,1.304327366723576631e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.304327366723576631e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.485046452906547465e-01,1.304327366723576631e-01,2.485046452906547465e-01
2.660545056938520947e+00,0.000000000000000000e+00,2.110553141553430656e-01,0.000000000000000000e+00,1.678820678076693440e-01,0.000000000000000000e+00,1.678820678076693440e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.678820678076693440e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.678820678076693440e-01,2.110553141553430656e-01,2.110553141553430656e-01
2.741167634421506349e+00,0.000000000000000000e+00,2.588323655784936506e-01,0.000000000000000000e+00,8.725949032468394151e-02,0.000000000000000000e+00,8.725949032468394151e-02,0.000000000000000000e+00,0.000000000000000000e+00,8.725949032468394151e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.725949032468394151e-02,2.588323655784936506e-01,2.588323655784936506e-01
2.821790211904492196e+00,0.000000000000000000e+00,1.782097880955078040e-01,0.000000000000000000e+00,6.636912841698094923e-03,0.000000000000000000e+00,6.636912841698094923e-03,0.000000000000000000e+00,0.000000000000000000e+00,6.636912841698094923e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.636912841698094923e-03,1.782097880955078040e-01,1.782097880955078040e-01
2.902412789387477599e+00,7.398566464128730757e-02,9.758721061252240148e-02,7.398566464128730757e-02,7.398566464128730757e-02,7.398566464128730757e-02,0.000000000000000000e+00,0.000000000000000000e+00,7.398566464128730757e-02,7.398566464128730757e-02,7.398566464128730757e-02,0.000000000000000000e+00,7.398566464128730757e-02,0.000000000000000000e+00,7.398566464128730757e-02,9.758721061252240148e-02,9.758721061252240148e-02
2.983035366870463001e+00,1.696463312953699898e-02,1.696463312953699898e-02,1.696463312953699898e-02,1.696463312953699898e-02,1.696463312953699898e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.696463312953699898e-02,1.696463312953699898e-02,1.546082421242727101e-01,0.000000000000000000e+00,1.696463312953699898e-02,0.000000000000000000e+00,1.696463312953699898e-02,1.696463312953699898e-02,1.696463312953699898e-02
3.063657944353448404e+00,0.000000000000000000e+00,6.365794435344840352e-02,6.365794435344840352e-02,6.365794435344840352e-02,6.365794435344840352e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.365794435344840352e-02,9.861971581493111927e-02,0.000000000000000000e+00,6.365794435344840352e-02,6.365794435344840352e-02,6.365794435344840352e-02,6.365794435344840352e-02,6.365794435344840352e-02
3.144280521836433806e+00,0.000000000000000000e+00,1.442805218364338060e-01,1.442805218364338060e-01,1.442805218364338060e-01,1.442805218364338060e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.442805218364338060e-01,1.442805218364338060e-01,0.000000000000000000e+00,1.799713833194571677e-02,1.799713833194571677e-02,1.442805218364338060e-01,1.442805218364338060e-01,1.442805218364338060e-01
3.224903099319419653e+00,6.262543915104012981e-02,9.172169103598015738e-02,9.172169103598015738e-02,9.172169103598015738e-02,9.172169103598015738e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.172169103598015738e-02,9.172169103598015738e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.172169103598015738e-02,9.172169103598015738e-02,2.249030993194196526e-01
3.305525676802405055e+00,1.109911355299475488e-02,1.109911355299475488e-02,1.109911355299475488e-02,1.109911355299475488e-02,1.109911355299475488e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.109911355299475488e-02,1.432480166340255323e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.109911355299475488e-02,1.109911355299475488e-02,1.585759383353493313e-01
