t_mm,sub-01,sub-02,sub-03,sub-04,sub-05,sub-06,sub-07,sub-08,sub-09,sub-10,sub-11,sub-12,sub-13,sub-14,sub-15,sub-16
2.563153811083980660e+00,2.563153811083980660e+00,2.563153811083980660e+00,2.563153811083980660e+00,2.563153811083980660e+00,2.563153811083980660e+00,1.785772618158314895e+00,2.563153811083980660e+00,2.168779486895481501e+00,2.482304842909698994e+00,2.563153811083980660e+00,2.563153811083980660e+00,1.988299909190457182e+00,2.563153811083980660e+00,2.563153811083980660e+00,2.563153811083980660e+00,2.563153811083980660e+00
2.654695018622694302e+00,2.654695018622694302e+00,2.654695018622694302e+00,2.654695018622694302e+00,2.654695018622694302e+00,2.654695018622694302e+00,1.694231410619601252e+00,2.654695018622694302e+00,2.077238279356767858e+00,2.390763635370985352e+00,2.654695018622694302e+00,2.654695018622694302e+00,1.896758701651743539e+00,2.654695018622694302e+00,2.654695018622694302e+00,2.654695018622694302e+00,2.654695018622694302e+00
2.746236226161407945e+00,2.746236226161407945e+00,2.746236226161407945e+00,2.746236226161407945e+00,2.746236226161407945e+00,2.731217937220804526e+00,1.602690203080887610e+00,2.746236226161407945e+00,1.985697071818054216e+00,2.299222427832271709e+00,2.746236226161407945e+00,2.746236226161407945e+00,1.805217494113029897e+00,2.746236226161407945e+00,2.746236226161407945e+00,2.746236226161407945e+00,2.714966926450982587e+00
2.837777433700121588e+00,2.837777433700121588e+00,2.837777433700121588e+00,2.837777433700121588e+00,2.837777433700121588e+00,2.639676729682090883e+00,1.511148995542173967e+00,2.837777433700121588e+00,1.894155864279340573e+00,2.207681220293558066e+00,2.837777433700121588e+00,2.837777433700121588e+00,1.713676286574316254e+00,2.837777433700121588e+00,2.837777433700121588e+00,2.837777433700121588e+00,2.623425718912268945e+00
2.929318641238835230e+00,2.929318641238835230e+00,2.929318641238835230e+00,2.929318641238835230e+00,2.929318641238835230e+00,2.548135522143377241e+00,1.419607788003460325e+00,2.929318641238835230e+00,1.802614656740626931e+00,2.116140012754844424e+00,2.929318641238835230e+00,2.929318641238835230e+00,1.622135079035602612e+00,2.929318641238835230e+00,2.929318641238835230e+00,2.929318641238835230e+00,2.531884511373555302e+00
3.020859848777548873e+00,3.020859848777548873e+00,3.020859848777548873e+00,3.020859848777548873e+00,2.879163838114588980e+00,2.456594314604663598e+00,1.328066580464746682e+00,3.020859848777548873e+00,1.711073449201913288e+00,2.024598805216130781e+00,2.960737042538890140e+00,3.020859848777548873e+00,1.530593871496888969e+00,3.020859848777548873e+00,2.970430629915295828e+00,3.020859848777548873e+00,2.440343303834841659e+00
3.112401056316262515e+00,3.112401056316262515e+00,3.071144225564440777e+00,3.112401056316262515e+00,2.787622630575875338e+00,2.365053107065949956e+00,1.236525372926033040e+00,3.112401056316262515e+00,1.619532241663199645e+00,1.933057597677417139e+00,2.869195835000176498e+00,3.112401056316262515e+00,1.439052663958175327e+00,3.112401056316262515e+00,2.878889422376582186e+00,3.112401056316262515e+00,2.348802096296128017e+00
3.203942263854976158e+00,3.203942263854976158e+00,2.979603018025727135e+00,3.203942263854976158e+00,2.696081423037161695e+00,2.273511899527236313e+00,1.144984165387319397e+00,3.203942263854976158e+00,1.527991034124486003e+00,1.841516390138703496e+00,2.777654627461462855e+00,3.203942263854976158e+00,1.347511456419461684e+00,3.203942263854976158e+00,2.787348214837868543e+00,3.203942263854976158e+00,2.257260888757414374e+00
3.295483471393689801e+00,3.295483471393689801e+00,2.888061810487013492e+00,3.295483471393689801e+00,2.604540215498448053e+00,2.181970691988522670e+00,1.053442957848605754e+00,3.295483471393689801e+00,1.436449826585772360e+00,1.749975182599989854e+00,2.686113419922749213e+00,3.295483471393689801e+00,1.255970248880748041e+00,3.295483471393689801e+00,2.695807007299154900e+00,3.295483471393689801e+00,2.165719681218700732e+00
3.387024678932403443e+00,3.387024678932403443e+00,2.796520602948299850e+00,3.387024678932403443e+00,2.512999007959734410e+00,2.090429484449809028e+00,9.619017503098921118e-01,3.387024678932403443e+00,1.344908619047058718e+00,1.658433975061276211e+00,2.594572212384035570e+00,3.387024678932403443e+00,1.164429041342034399e+00,3.387024678932403443e+00,2.604265799760441258e+00,3.387024678932403443e+00,2.074178473679987089e+00
