t_mm,sub-01,sub-02,sub-03,sub-04,sub-05,sub-06,sub-07,sub-08,sub-09,sub-10,sub-11,sub-12,sub-13,sub-14,sub-15,sub-16
2.423839928708164670e+00,2.423839928708164670e+00,2.423839928708164670e+00,2.423839928708164670e+00,2.423839928708164670e+00,2.423839928708164670e+00,2.423839928708164670e+00,2.423839928708164670e+00,2.423839928708164670e+00,2.423839928708164670e+00,2.423839928708164670e+00,2.423839928708164670e+00,2.423839928708164670e+00,2.423839928708164670e+00,2.423839928708164670e+00,2.423839928708164670e+00,2.423839928708164670e+00
2.520793525856491524e+00,2.520793525856491524e+00,2.520793525856491524e+00,2.520793525856491524e+00,2.520793525856491524e+00,2.520793525856491524e+00,2.479206474143508476e+00,2.520793525856491524e+00,2.520793525856491524e+00,2.520793525856491524e+00,2.520793525856491524e+00,2.520793525856491524e+00,2.479206474143508476e+00,2.520793525856491524e+00,2.520793525856491524e+00,2.520793525856491524e+00,2.520793525856491524e+00
2.617747123004817933e+00,2.617747123004817933e+00,2.617747123004817933e+00,2.617747123004817933e+00,2.617747123004817933e+00,2.617747123004817933e+00,2.382252876995182067e+00,2.617747123004817933e+00,2.481272390587966559e+00,2.617747123004817933e+00,2.617747123004817933e+00,2.617747123004817933e+00,2.382252876995182067e+00,2.617747123004817933e+00,2.617747123004817933e+00,2.617747123004817933e+00,2.617747123004817933e+00
2.714700720153144342e+00,2.714700720153144342e+00,2.714700720153144342e+00,2.714700720153144342e+00,2.714700720153144342e+00,2.714700720153144342e+00,2.285299279846855658e+00,2.714700720153144342e+00,2.384318793439640150e+00,2.714700720153144342e+00,2.714700720153144342e+00,2.714700720153144342e+00,2.285299279846855658e+00,2.714700720153144342e+00,2.714700720153144342e+00,2.714700720153144342e+00,2.714700720153144342e+00
2.811654317301471195e+00,2.811654317301471195e+00,2.811654317301471195e+00,2.811654317301471195e+00,2.811654317301471195e+00,2.811654317301471195e+00,2.188345682698528805e+00,2.811654317301471195e+00,2.287365196291313296e+00,2.811654317301471195e+00,2.811654317301471195e+00,2.811654317301471195e+00,2.188345682698528805e+00,2.811654317301471195e+00,2.811654317301471195e+00,2.811654317301471195e+00,2.811654317301471195e+00
2.908607914449797605e+00,2.908607914449797605e+00,2.908607914449797605e+00,2.908607914449797605e+00,2.908607914449797605e+00,2.835954732088231012e+00,2.091392085550202395e+00,2.908607914449797605e+00,2.190411599142986887e+00,2.908607914449797605e+00,2.908607914449797605e+00,2.908607914449797605e+00,2.091392085550202395e+00,2.908607914449797605e+00,2.908607914449797605e+00,2.908607914449797605e+00,2.908607914449797605e+00
3.005561511598124458e+00,3.005561511598124458e+00,3.005561511598124458e+00,3.005561511598124458e+00,3.005561511598124458e+00,2.739001134939904158e+00,1.994438488401875542e+00,3.005561511598124458e+00,2.093458001994660034e+00,2.910518271501491672e+00,3.005561511598124458e+00,3.005561511598124458e+00,1.994438488401875542e+00,3.005561511598124458e+00,3.005561511598124458e+00,3.005561511598124458e+00,2.825390383247176285e+00
3.102515108746450867e+00,3.102515108746450867e+00,3.102515108746450867e+00,3.102515108746450867e+00,3.061898894222525147e+00,2.642047537791577749e+00,1.897484891253549133e+00,3.102515108746450867e+00,1.996504404846333625e+00,2.813564674353165262e+00,3.102515108746450867e+00,3.102515108746450867e+00,1.897484891253549133e+00,3.102515108746450867e+00,3.102515108746450867e+00,3.102515108746450867e+00,2.728436786098849876e+00
3.199468705894777276e+00,3.199468705894777276e+00,3.199468705894777276e+00,3.199468705894777276e+00,2.964945297074198738e+00,2.545093940643251340e+00,1.800531294105222724e+00,3.199468705894777276e+00,1.899550807698007215e+00,2.716611077204838853e+00,3.199468705894777276e+00,3.199468705894777276e+00,1.800531294105222724e+00,3.199468705894777276e+00,3.125086614441981769e+00,3.199468705894777276e+00,2.631483188950523466e+00
3.296422303043104129e+00,3.296422303043104129e+00,3.261016221258896230e+00,3.296422303043104129e+00,2.867991699925871885e+00,2.448140343494924487e+00,1.703577696956895871e+00,3.296422303043104129e+00,1.802597210549680362e+00,2.619657480056512000e+00,3.106701934389744402e+00,3.296422303043104129e+00,1.703577696956895871e+00,3.296422303043104129e+00,3.028133017293654916e+00,3.296422303043104129e+00,2.534529591802196613e+00
